No,tweet,Sentimen
1338,sekolah online gak bikin bego kitanya aja yg males krn sekolahnya di kasur termasuk aku,1
1339,sekolah online bikin makin suka sama matematika,1
1345,ga usah sekolah offline enakan online,1
1354,Bentuk kepedulian Kodim 1426 Takalar terhadap siswa sekolah untuk belajar Daring Koramil jajaran Kodim 1426 Takalar terus galakkan belajar Online di Kantor Koramil dengan menyiapkan Wi Fi gratis dipantau oleh Piket Koramil,1
1363,Hai dek Udah online aja dah,1
1366,sekolah online,1
1370,kenapa harus takut dgn sekolah online takutlah pada kehidupan yg bisa direnggut oleh pandemi,1
1375,Nungguin masnya jawab anaknya umur berapa Pengen tanya cara supaya anaknya bisa enjoy sekolah online,1
1392,a @yockospryn sekolah online gabisa razia gondol,1
1397,sekolah online gabisa tawuran smk 6,1
1407,Offline sebelum berangkat sekolah Online 5 menit sebelum kelas,1
1408,Pagi bestie Semangat sekolah online,1
1412,SELAMAT PAGII SEMUANYAAA SEMANGAT SEKOLAH ONLINE NYAA YAAA JANGAN LUPA SARAPAN JUGAA,1
1414,dulu pas sekolah offline ngga pernah sarapan dann sekarang pas online sarapan terus ahahah,1
1420,Ga salah sih sekolah online,1
1421,Perkara sekolah tatap muka atau online ini kan perkara kesehatan Bukan perkara kualitas pendidikan,1
1423,Sekolah ak niat ga si offline nya Offline sehari trus online offline seminggu online lagi ap mksud,1
1427,Smoga niat baiknya membuka sekolah online gratis utk jadi teknisi otomotif segera terlaksana ya pak Dokter Harley Asal Indonesia di AS Dulu Diremehkan Kini Jadi Master,1
1431,lo ngedrop vsat buat belajar jarak jauh itu jauh lebih murah dan udah mulai dipakai buat menjangkau daerah terisolir itu salah satu solusi dan sejujurnya pihak yang kontra sekolah online ini justru menafikan potensi PJJ dan itu stupid,1
1434,a @ADjem Sekolah offline aja anak2 banyak yang attitudenya jelek mending sekolah online,1
1437,setahun sekolah online GUE LUPA GIMANA RASANYA NGERJAIN PR MALEM MALEM SEBELUM TIDUR,1
1438,Pandemi menyebabkan peningkatan pada penggunaan toko online ojek online sekolah online,1
1446,Aku awalnya benci sekolah online karena merampas waktu kerja bahkan rehatku. Tapi setelah menjalaninya aku jadi tau kalo anak sering stres dgn pelajaran melimpahkan tanggung jawab ortu sbgai pereda stres pada guru itu tindakan pengecut sih Dikira guru2 itu kuat hadepin puluhan siswa,1
1453,Sejujurnya selama sekolah online otak gua jadi susah fokus Gampang ketrigger kalau lagi nugas dan susah fokus kalau diajak ngomong sama guru tiap lagi ngobrol sama org pasti pikiran gua kemana mana,1
1462, Jadi mau sekolah online pak,1
1465,lebih suka sekolah online aja sih,1
1467,aku baca threadnya ngelihat orang2 sekolah online bisa memanfaatkan ini untuk berkembang ,1
1469,kalo online enggak pernah tp kalo sekolah offline pernah kyk ngeluh ngeluh sakit gamau bangun trs bolos sekolah,1
1476,Pas sekolah offline aku sering pake di kelas tapi selama online ga pernah pake lagi,1
1477,sebenarnya ga salah juga klo mau dibuat pendidikan online,1
1483,ak udh nyaman sekolah online trs disuruh offline rasanya malas sekali,1
1485,kalo sekolah online gini bisa kok temen temenku banyak yang kerja termasuk aku,1
1486,Iya sih semua pilihan pst ada alasannya Kalo aku prefer online krn anak bisa tetap sekolah dr mana pun Termasuk misalnya sambil camping dgn teman pecinta alam misalnya asal koneksi internet memadai Agak lebay ya contohnya Atau sambil ngegambar di tamsur deh,1
1494,Anak sekolah online gabisa tawuranya jd lebih bagus gitu,1
1502,okey besok sekolah online lagi semoga si pemerintah ga php lagi mau sekolah tatap muka nanti ya,1
1505,Bahas pro kontra sekolah online offline kalo aku sih pro sekolah online,1
1508,Kayaknya kec krn pandemi justru sekolah online membuat anak bisa tetap bersekolah dr mana saja bukan Ga cuma di rumah bersama ortu kecuali yg msh sd Bisa saja di rumah teman yg punya minat hobby yg sama atau di tempat lain yg menunjang hobby mereka,1
1511,sekolah online tapi tetap bayar penuh iuran sekolah itu niatkan saja untuk membantu agar tidak terjadi PHK tenaga pendidik,1
1515,dah capek ngurus manusia makanya sekolah online aja,1
1516,sekolah online dari gasuka jadi suka wkwkwk,1
1522,sekolah online gabisa kesurupan masal,1
1524,Sekolah udh offline Aku masih mau sekolah online,1
1525,Wajar lah kau bilang suka pendidikan online macem sekarang Di umur sekarang kau sudah bisa mandiri Kau itu bukan anak kecil,1
1536,Pendidikan online pemerintah tolong buat tower dan berikan fasilitas penunjang agar sinyal bisa sampai ke pedalaman,1
1538,Menyadari kalo besok sekolah online lagi gak offline yeayyyy,1
1544,Sekolah tapi online aja,1
1550,Dengan segala pro dan kontra nya tweet ini tp ada hal hal yg menarik dibayanganku suatu saat nanti sekolah beneran bakalan online semua mungkin kecuali yg harus ada praktek nya ttp harus ada offline nya kyk dokter dll Menarik juga prspektif masnya ttg bersosialisasi ini,1
1559,udh mulai males sama sekolah offline mending sekolah online,1
1568,Gue lebih suka pendidikan online,1
1571,semenjak sekolah online jadi bangun lebih pagi buat siapin sekolah online &  mulai hari yang lebih semangat & efektif usahain selesai subuhan jangan tidur lagi,1
1581,Setelah setahun lebih belajar online akhirnya nyaman juga wkwkwk,1
1582,Terimakasih sekolah online kamu membuatku ngomong hal yg gaboleh diomongin,1
1583,Saya yang introvert aslinya happy2 aja sekolah online karena energi ga habis buat haha hihi,1
1589,sekolah pelayaran sekolah penerbangan sama smk2 lainnya juga hapusin aja RI kalo ga bisa adaptasi biar semuanya belajar online,1
1591,Setuju Si bungsu yg extrovert ngeluh2 kangen sekolah offline pdhl tiap hari main scr online sm 3 4 teman kelasnya So sy kontra sm demit nih Sy pro online deh,1
1592,"Sekarang ni sudah masuk tahun kedua covid19, patutnya kerajaan sudah upgrade semua liputan diseluruh negara. Mana2 sekolah yg ditutup boleh akses belajar secara online dengan mudah.",1
1597,btw sekolah online enak juga,1
1600,"a @oohrayeol You're welcome, iyaa dong harus semangat sekolah online nya",1
1611,a @thisisminhosung sekolah online enak kan?,1
1616,"Gue mah mau sekolah online aja, udah nyaman wkwk",1
1623,"@collegemenfess coba jd guru les aja nderr, dulu kan kuliah full ya jadi gabisa kalo ikut parttime gitu2, terus tetangga banyak yg kewalahan ngajari anaknya sekolah online dan akhirnya aku mendadak jd guru les 3 anak wkwk, jadi ngajari pagi2 sambil aku kuliah onlen gituu lumayann uangnyağŸ˜‚",1
1626,kesiapan saat sekolah online,1
1629,"Dulu sebelum online sering lembur terus masih lanjut ngerjain pagi pagi di sekolah, jam istirahat adalah jam tidur siang, seru kalo debat.",1
1632,a @SintaElvhee2_ Yg butuh buat sekolah online masih banyak,1
1637,"Baguslah, banyak case Covid-19 di sekolah sekarang ini, mending online aja",1
1650,"Sekolah Online, mungkin awalnya hanya terdengar sebagai omong kosong, pembelajaran yang tidak efektif, dan juga banyak kekurangannya. Tapi buktinya? Dalam keadaan terpaksa, kita harus menjalani hal ini. Belajar dan mengajar secara online.",1
1656,Astaghfirullah jadi mager sekolah offline pas puasa,1
1657,sekarang kelas online ada juga praktikum (dan mayan seru lah krn bisa bereksperimen),1
1659,Enakan sekolah online,1
1663,@schfess 90% introvert sangatÂ² suka sekolah online karena ga banyak ngobrol sm orang ğŸ‘,1
1670,kenapa sih pada ga setuju sekolah online? Allo aku sih enak2 aja,1
1674,a @fixonpowers mau sekolah online terus :(,1
1684,"Enak sekolah ku. Pelajaran jarak jauh, tes online",1
1692,a @subschfess pandemi gini online aja kak hehe,1
1694,a @yoozaynhereee zain aku mau nangis. Mending sekolah online,1
1696,"ngeliat anak kecil lagi sekolah online tk, didampingi ibunya",1
1697,"lha gimana bang, sekolah online, tapi anak2 pada keluyuran main keluar padahal diluar rentan covid.
baru aja sekolah mulai offline, eh malah ada yg kena covid, mending online aja kan",1
1698,Apa yang menjadi keluhan kamu dengan sekolah online? Enak gini kok,1
1700,Kalian cape gk sih sekolah online? Aku engga sih :),1
1705,"nggak sekolah online aku, tapi pengen :(",1
1881,"Belajar dirumah dalam situasi pandemi covid 19 tentunya menjadi hal yang asing kita lakukan karena biasanya kita melakukan aktivitas di sekolah sedangkan saat ada pandemi covid 19 kita harus berjaga di rumah.
Kita belajar online dengan tugas yang diberikan oleh guru. https://t.co/tQtDN65hux",1
1891,"@starfess tahun lalu awal"" mulai sekolah online stress bgt sampe akhirnya ketemu lagu rapsodi, tenang bgt rasanya sampe gua puter sampe sekarang ğŸ˜­",1
1900,"Gak kok, aku masih pengen sekolah online, cuman ada perlu aja ke sekolah XD",1
23,@schfess dia lg stress grgr sekolah online kah,2
394,kalo sekolah online biasa bergantung sama googleğŸ˜­,2
2, Makanya harus ada solusi. Membiarkan anak anak sekolah online tidak maksimal. Terutama di daerah. Daerah tidak support untuk yang begitu.,2
3,"@cccc0123cccc Dari pada main ga jelas. Anak anak di pemukiman warga di Jakarta main sana sni tidak pakai masker. Kenapa malah takut ke sekolah?

Di kampung aku malah udah merasa ga ada corona. Yg percaya corona malah diketawain. Anak anak pagi smpe malam main. Belajar online ga maksimal",2
4,Gila nambah2in beban bgt ngurusin sekolah online tpi gurune model gini.,2
8,"Tapi sepanjang yg terlihat, anak2 sekolah online, main sebebasnya bergerombol kemana meni no protokol. Masker aja nggak..
Mending sekolah tatap muka, dengan test rutin. Nah siapa yg sanggup lakuin dan bayarin? ğŸ¤­",2
13,"Belasan tahun kita sering nganggep kalau ""sekolah yang paling baik itu online aja, full sistem online, di rumah"".

Sekarang sadar kan, alesan kenapa emang sekolah tatap muka secara langsung tuh jauh lebih baik wkwk. https://t.co/9nLQg5ueZz",2
14,"dipikiran guru sekolah online gini termasuk libur kali, ngga anjg stress",2
15,"mentang mentang sekolah online, tangga merah tetep belajar.",2
19,"@schfess Prinsipku dari kaya gini, terlena sampe sma. Pulang sekolah/les bablas ga pegang buku. Nyeselnya pas sekolah online jadi dikit-dikit burnout soalnya ngerasa salah tempat dan jadi gampang kedistract sm kenyamanan di rumah ğŸ˜©",2
21,"Italia sdh 8 bln tatap muka.
Tp khusus SD krn mreka blm jejeg ngerjain tugas2 online.
Yg ad mlh ortu stress ky di INA.
Anak SMA msh blm krn hrs ke Propinsi La Spezia naik bus.
Ini dikhawatirkan jd cluster br.
Itu pun kesiapan sekolah rombak total keren. Ga ada anak SD kena Covid https://t.co/HEV1WHLp2J",2
24,"2 hari lagi nak bukak sekolah, setahun cuti ni rasa macam sehari je. tapi rindu jugak sekolah sebenarnya cuma homework online tak siap lagi 
â€¢-â€¢",2
30,"@schfess turun, guru w gapernah ngejelasin samsek dari awal sekolah online, cuman di kasih tugas, trus w juga jarang ngerjain krena ga ngerti...",2
38,@pepetrikk @caesar_emil @caesar_emil2 Harapannya semoga pandemi ini segera berakhir supya bisa sekolah dengan normal lagi capek sekolah online,2
39,"cape sekolah online, mau nikah aja tapi sama jeno https://t.co/CRsXe7Uioe",2
40,"Susah emang kalau dah punya mau , bosen sekolah online mulu https://t.co/tlWFd7kbgL",2
42,agk.a temen gua depresot sekolah online ğŸ˜¥ğŸ‘ğŸ» https://t.co/s3urotilQf,2
44,Ngeliat anak-anak di sekitaran rumah ini kaya percuma aja gitu sekolah online yang tujuannya biar pada gak keluar rumah dan ngurangin angka penularan Covid tapi mereka bocah-bocah tiap hari pada main ke luar. Mending pada sekolah aja,2
47,Ga bener banget sekolah online wkwk semoga corona cepet selesai dan kehidupan pulih seperti sedia kala. Kasian juga liat soal2 sekolah anak2 sd/smp sekarang â˜¹ï¸ jadi takut nanti kalo punya anak gimana,2
51,"sekolah online bikin pinter â
bikin stress, depresi, anxiety  âœ…",2
52,"Rindu banget sekolah online, liat anak sekolah pake seragam :(",2
60,Setahun lebih sekolah online. Serasa menyia - nyiakan masa muda...,2
62,"@kumparan Aku siap di vaksin, karena tubuhku butuh kepastian. Supaya tidak diragukan lagi, seenggaknya harus vaksin, dan bisa mengajar offline di sekolah, bukan online lagi ;))))) #BersamaKitaVaksin",2
63,Mulai capekk sekolah online aduh,2
69,"@schfess Saran aku mending  les yg tatap muka aja dehh, soalny manurt ku bimbel online sama aja kayak sekolah online. Tergantung kepribadian masingÂ² nya juga deng hihiğŸ˜",2
70,"sch! boleh kasi kelebihan kekurangan dri aplikasi les online ga? butuh banget, soalnya sekolah online bener bener materi ga masuk otakğŸ¥º",2
71,Adek gua awalnya orgnya ceria bgt ceplas ceplos sana sini gegara sekolah online dia jadi jarang ngomong diem di kamar main mulu trs prnya terbengkalai dan gua tahu sebenarnya dri pr-nya karena prnya gak masuk akal menurutku. Dan persis mirip bgt kek gini https://t.co/ymuQyoyUyD,2
79,@IoIjeki LAH !!!!!!! GUA PERPIS ONLINE INI SEKOLAH GAK NIAT SEKOLAHIN MURID KAYAKNYA !!!,2
86,@emak_rempong338 Krna banyak pihak yg gk tau kelas online ini sangat disukai murid2 krna mereka bisa santai sekolahnya. PR dan ulangan tinggal mencontek di group kelas yg khusus menshare jawaban2 yg ada. Yg gk ngerti apa2 semakin gk paham apapun dri materi pelajaram sekolah,2
87,Klo sayang anak yah harus dukung anak sekolah dengan protokol ketat. Sekolah online cuma membuat murid2 menjadi malas dll. Contek sana sini. Indonesia tdk siap dengan sekolah online https://t.co/3zdBwKreDg,2
89,@rosecalalily @Svastya @nuicemedia Rata2 yg koken yah yg blm punya anak. Yg uda punya anak juga takut sperti saya. Tapi klo diperpanjang yg ada bukannya makin baik krna pendidikan indonesia blm siap dengan kelas online. Yg penting itu pengaturan di sekolah. Selama disipilin dan tegas ya tdk apa2.,2
100,"@Svastya @nuicemedia Yg komen biasanya blm punya anak atau gk tau kualitas murid krma sekolah online ini terjun bebas. 2 tahun sekolah online itu akan buat murid2 jadi semakin bodoh, malas. Setahun kelas online saja uda rusak kualitas murid2 di indo. https://t.co/3HlXMNFQTK",2
101,"@nuicemedia Yg mau komen bla bla bla, lo semua uda tau blm hasil sekolah online sama murid2 sekolah jadinya sprti apa. Setahun sekolah online aja uda rusak kualitas murid2 yg ada. Jadi gk masalah klo mau ada trial dulu. Tingal dipikirkan gmana mengaturnya dengan baik. https://t.co/3HlXMNFQTK",2
104,"@schfess disekolahku iya, karena bimbelnya itu meski udah disediain, banyak malah yang ngerumpi dibelakang kelas, jadi kayak ya yang fokus bimbel tuh emang bener2 niat dan ya kan di bimbel g ada penilaian gitu, ah jadi kangen bimbel, online school gini bimbel di sekolah ku berhenti:(",2
107,aku susah belajar otodidak tolongggggggg susah bgt sekolah online,2
109,"@tvOneNews Logika nya kaga nyambung
Sekolah online cuma provider yg untung... konspirasi lah...
Susah mentri mantan ojol...",2
110,"@jokowi Benar sekali apa isi lagu anak,sekolah harus online,gk punya hp harus beli hp,sedangkan uang susah di cari,dr pemperintah dapat bantuan tp hanya atas nama bantuan tidak sampai ke masarakat,yg kaya makin kaya yg miskin makin susah makan https://t.co/VXzyzQRvAL",2
111,Bisa yak stress sekolah online larinya ke nikah https://t.co/GqkRYw1LyG,2
113,"@mnyamarr Sekolah online, siswanya banyak yg main game, hp. Dan egk belajar d kasih soal seperti ini.. 
Yg ngerjain orang lain. 
Truss generasi kedepan anak"" itu gimana klo didikan orang tuanya egk ada bahkan tak di perhatikan sama sekali.",2
115,"Orang tua ma guru sama2 udah capek sekolah online, yg masukin tugas tiap hari rata2 di bawah 10 murid, jadi program kerja guru2 nya juga ga jalan ğŸ˜”",2
116,"@tanyainrl capek sekolah online, setiap mau daring harus bersihÂ² rumah dulu. . capek banget suka telat absen ğŸ¤ğŸ•¶ğŸ˜­",2
123,"@ridwankamil IKEA diresmikan dan dibuka, sekolah kapan dibuka'y pak?? Belajar dan menuntut ilmu dgn tatap muka langsung guru-murid itu lebih bagus &amp; baik, ketimbang online. Nyaho teu maneh !?!?! Keterbatasan ortu utk jadi 'guru' dirumah.",2
124,cape w sekolah online muluu :),2
129,laptop sudah tidak sanggup diajak sekolah online lagi ğŸ‘ğŸ»ğŸ‘ğŸ»,2
130,Kasian tetanggaku anaknya sekolah online yg ngerjain tugas ibunya,2
134,"@chocamousse Im so sorry to hear that ğŸ˜°sekolah online emg berasa nyapein bgt :( ka caca sering interaksi / deket ga sama adenya? Mungkin bisa lebih sering diajak ngomong dr hati ke hati, atau mungkin klo mau priksa ke psikolog bisa cek treadh ini https://t.co/QFkTo0LgN9",2
135,"Aku males sekolah onlineğŸ˜­ğŸ˜­
Pengen sekolah offline",2
140,"PENGEN LAH MASUK SEKOLAH TANPA MENGUNAKAN MASKER, TANPA ONLINE, MAUNYA OFFLINE https://t.co/UCTdvY1I9Y",2
141,"rasanya patah hati bgt denger adekku pagi ini speak up, kalo selama ini dia ngerasa depresi, takut, sedih, selama sekolah online... aku mau minta tolong buat mutualku yg masih sekolah atau siapapun, boleh bantu aku? aku bingung harus berbuat apa...",2
143,"@Lucky_HS Tp katanya terserah ortu juga. Sekolah gabole maksa. Jadi malah lbh repot, mesti bikin kelas tatap muka &amp; online..",2
144,"Diskursus sekolah dibuka dan ttp sekolah online ini bukti nyoto sekali kalo Indonesia ini lemah bahkan di segala sisi kebijakan yang katanya mengarah ke ""pemulihan"", tapi kok ya jiyan masih ngeyel sama PEN. Pensil ajaib.",2
147,"@dayatia Betul dok,ini lihat pelajaran ponakan 1 sd udah ruwet,bahasa inggris kayak saya 1 smp dulu,mana sekolah online,gurunya males gak kreatif bikin materi .....emosi lihatnya .",2
154,@thoriqmm Kasian anak sekolah. Terlalu lama online dampaknya bisa jangka panjang. ğŸ˜¥,2
156,"@AREAJULID bener bgt, ke warung sering bgt nemuin anak smp/sma yg ngerokok. Mentang2 sekolah online jadi mereka bebas gitu",2
157,"@AREAJULID Iya weh, kemarin aku sempet ke warnet, banyak anak kecil main game online, terus ngerokok, mana omongannya kasar banget :( padahal lagi ngomong sama orang yang lebih tua. Aduh gak tau deh, sekolah online ni anak2 makin liar gak sih?",2
169,"Susah la woi buat test online ğŸ˜­ ada yg tak dengar la, tulisan kecik la. Bagus la jugak esok korang dah masuk sekolah balik ğŸ˜­ğŸ˜­ğŸ˜­",2
173,"@alasxrah di undur undur mulu lelah, mana besok senin sekolah online lagi ksks dan kuota sering cepet habis",2
178,Tidak mengejutkan sama sekali dan bukan soal orang tua tidak teredukasi Covid. Selama ini menyimak keluhan orang murid ke ibu saya yang guru. Problem sekolah online ya krn tidak semua anak dan orang tua punya akses yang sama. https://t.co/8JaXbOgRyz,2
180,Jujur abang karena sekarang TK B padahal umurnya harusnya masih TK A (iya dulu kecepetan sekolahnya) struggling bgt sekolah online. Hasilnya? Ya ga dipaksa sekolah kalo lagi ga mau. Untungnya guru2 pengertian dan bisa komunikasi. Ini kasusnya masih anak TK.,2
185,"@iimfahima Ya, karena klo anak ke sekolah, ortu berkurang bebannya. Selain itu juga bayar sama aja walaupun online

*hasil baca2 di socmed",2
190,"@firdzaradiany Pendapat saya, bisa jadi ortu2 pada setuju sekolah dibuka kembali krn mereka lelah hrs menemani anaknya di dpn HP/laptop/komputer lama2.. Blm lg tugasnya hrs videoin anak, PR banyak. Sedangkan bnyk ortu yg hrs kerja jg. Di sisi lain, anak pun bosen online trs &amp; mulai cranky.",2
191,"Sama kaya sholat jamaah di masjid.. sekolah online pun. Bocah tetep aja maen sana sini. Gada prokesnya. Giliran sholat atau skolah disalahin. tp nongkrong, liburan bebasss https://t.co/80eFVudw1z",2
199,"@Sudiyanto204573 @kemenpendidikan @KemenkesRI @birohukumdikbud Sy tdk ijinin anak"" sy tatap muka sekolah &amp; anak"" sy jg blm mau tatap muka sekolah,sy sdh bicara ke pihak sekolah hal tsb &amp; tinggal bt surat pernyataan sj,ponakan sy ambil S2 di jerman sj msh kuliah online loh prend",2
210,"@Ndev_ita Harus nya sekolah tatap muka, tapi di atur jadwal nya, biar bisa jaga jarak, contoh.
Dari anak didik satu kls 35 org, setengah nya masuk hari ini, besok nya gantian yg setengah nya, pasti bisa lah jaga jarak, dan lebih efektif sekolah nya ketimbang online.ğŸ˜ŠğŸ˜‚",2
218,"Semoga online sampe akhir tahun (bukan sekolah) 
Aamiin!!",2
222,"Setuju secepatnya. Krn WFH &amp; sekolah online gak ada pengawasan. org yg WFH/sekolah online itu gak bener bener di rumah, selesai kegiatan mereka bebas keluyuran &amp; malah berkerumun. keluyuran tsb apa bedanya dgn di ngantor/sekolah tatap muka? https://t.co/C2DEfhwua0",2
242,"sekolah online bikin nilai ku bener2 nurun banget,malu sama ibu :(",2
249,"@loveblemark eh tapi kangen temen"" juga si, udah muak juga sekolah online materi gaada yg masuk",2
257,"@tanyainrl pernah, pas awal"" sekolah online. tugasnya bejibun, kaga di kasih materi, ngga ada meet, zoom atau semacamnya. pas bgt dpt tugas mtk, nangis seharian gue wkwkwk",2
259,@Dychiz_ Bosen dan gk betah meskipun ada enaknya juga sekolah online,2
269,"awalnya aku suka online sih. tpie setelah 2 minggu ini mulai percobaan sekolah offline, ternyata aku sadar klo sekolah offline itu menyenangkanğŸ˜˜ https://t.co/Pel2vgU7fJ",2
290,Orang tua murid menilai sekolah online hanya bersifat satu arah dan berbiaya tinggi https://t.co/3HqyaFKQfy,2
294,"@mengjual bener,,, ga asik grgr skrg sekolah online aja sihğŸ˜”ğŸ˜”",2
299,@mellianshnt @psychoblack Ngaji di panti yg juga pondok pesantren. Ini juga dia udah kelas 9 dan udah daftar lanjutin di pondok juga. InsyaAllah emang perginya atas kemauan sendiri dan pondoknya gak memberikan pengaruh buruk kok. Dia malah berkali2 ditanya dan disarankan pulang. Dia jenuh sekolah online.,2
309,"sekolah online 

tugas
tugas
tugas

pinter kaga, stress iya",2
310,"@aeribase Muda bgt 02, ini karena lagi pandemi atau gmn dari pada sekolah online mending masuk wamil gt y ğŸ˜­",2
313,apakah kalian kebanyakan sekolah online kah jadi kurang pintar @min0rs_bul4y,2
314,"@Kura2_kayang @QaillaAsyiqah Ini @Kura2_kayang contoh korban nyata dari sekolah online,  goblog nya nyata dan jelas.",2
320,"ini aku dulu waktu sekolah offline, tapi kalo online ....ğŸ˜­ğŸ˜­ğŸ˜­ğŸ˜­ ancur https://t.co/ylnVI3qNj5",2
324,"@KompasTV Mau lepas tangan ente @nadiemmakarim  , Dulu yg memerintahkan sekolah Daring atau Online Siapa ?",2
326,"@Hermawan8612 @FiersaBesari Ya deh mas. Tarik ulur yg bagus ya. Yah mau taat aturan pun penyebaran juga tetep terjadi virusnya juga tetep ada. Ya kalo bisa semuanya harus dibuka: pasar, sekolah, dll asal tetep taat prokes. Ga cuma mall yg buka. disini sekolah aja masih online. Bikin anak2 makin gajelas",2
327,"@MDewoyono bener banget wok. gua ngajar di salah satu sd kemayoran, dan masih begitu, ga sedikit murid yang harus nunggu ibu/bapaknya pulang kerja buat ngerjain tugas sekolah. dan akhirnya gabisa ikut kelas online karna hpnya dibawa ortu kerja",2
336,"bestnya semua dah boleh pergi sekolah, boleh pergi campus ğŸ¥² college aku je bodo nak online class sampai covid habis ğŸ˜ƒ",2
339,suka ngerasa terbebani gak sih sekolah secara online gini? â€” jujur aja AGAK SIH AHAHAHAH  https://t.co/PLENlYfG29,2
355,"gw suka bgt baca fanfic lokal trope sma/kuliah offline gitu wkwkwk gara2 rada bete juga sih 1,5 tahun offline terus 1,5 tahun online. berasa denger seminar bukan sekolah",2
363,"@KemensetnegRI Sekolah online demi patuhi prokes
Kerja WFH demi patuhi prokes
Aktivis gak demo krn prokes
Ulama dipenjara krn prokes

Kasus covid19 masih tinggi adakan pesta kawinan super mewah dihadiri pak lurah &amp; pak timbul.. ditonton rakyat se-Indonesia... Pantaskah.... !!",2
366,"Karena banyak orang tua yang gak punya hp, jadi mereka menderita banget selama sekolah online. Banyak anak-anak yang akhirnya gak belajar, tapi main jalan terus. Semua tempat udah dibuka kecuali sekolah, orang-orang udah banyak yang gak peduli virus, yaudah sekalian buka aja. https://t.co/HqbVPJn6QN",2
367,"Banyak yg laper dan gabisa bayar listrik, bingung gadget untuk sekolah online, paket data internet, dan presideeeeeennnnnnnnnnntttt aaaaarrrrgggghhhhh

SHUKAAAKKUUUUUUUUUU https://t.co/AOpitPtdF9",2
370,"@AngelenosLos Yoi betul sekali, itupun saya dapat dari keluhan orang tua langsung ğŸ˜ğŸ™
Meresahkan sekolah Online  wkwkwk",2
